Station,Lat,Lon
1,51.12475,-9.990583333
2,51.1229,-9.985783333
3,51.40155,-9.658316667
4,51.41395,-9.660683333
5,51.12966667,-9.34285
6,51.18536667,-9.337333333
7,51.42135,-9.017933333
8,51.42761667,-9.0227
9,51.19013333,-8.737566667
10,50.925,-8.73475
11,51.36466667,-8.374833333
12,51.42255,-8.380666667
13,51.00551667,-8.2298
14,51.00505,-8.222083333
15,51.422,-8.0732
16,51.42986667,-8.0685
17,51.00575,-7.914183333
18,51.0051,-7.91665
19,51.43435,-7.743966667
20,51.44033333,-7.751366667
21,51.00841667,-7.586133333
22,51.00521667,-7.585383333
23,51.43633333,-7.431083333
24,51.4482,-7.4325
25,51.0047,-7.271916667
26,51.00633333,-7.271583333
27,51.44166667,-7.093833333
28,51.78321667,-7.097416667
29,51.44671667,-6.987583333
30,51.00666667,-6.93145
31,51.8387,-6.924333333
32,51.0072,-6.8327
33,51.42266667,-6.756033333
34,52.02766667,-6.7572
35,52.0235,-6.684666667
36,52.01883333,-6.835166667
37,52.01833333,-6.991833333
38,51.42475,-7.17
39,51.42475,-6.6056
40,51.0134,-6.601766667
41,51.00785,-6.438566667
42,51.42026667,-6.444216667
43,51.42345,-6.287833333
44,51.01233333,-6.266333333
45,51.01673333,-6.0992
46,51.42445,-6.11325
47,51.72216667,-6.216416667
48,51.7288,-6.383916667
49,51.72761667,-6.550416667
50,51.7755,-6.712633333
51,52.01315,-7.229
52,51.7713,-7.335433333
53,52.01365,-7.386716667
54,51.76916667,-7.487333333
55,51.77485,-7.534666667
56,51.7443,-7.70175
57,51.72555,-7.880466667
58,51.70973333,-8.042233333
59,51.71375,-8.199133333
60,0,-8.285
