Str,Trans,S_Date,S_Time,S_Lat,S_Lon,E_Date,E_Time,E_Lat,E_Lon
1,1101,08/10/2013,00:11,52.5418,-9.9497,08/10/2013,00:49,52.4772,-9.8185
1,1102,08/10/2013,00:49,52.4772,-9.8185,08/10/2013,01:15,52.5443,-9.7852
1,1103,08/10/2013,01:15,52.5443,-9.7852,08/10/2013,01:35,52.5318,-9.7475
1,1104,08/10/2013,01:45,52.5297,-9.7653,08/10/2013,02:04,52.5468,-9.8430
1,1105,08/10/2013,02:04,52.5468,-9.8430,08/10/2013,02:33,52.4752,-9.8673
2,201,08/10/2013,07:22,52.0528,-10.5382,08/10/2013,08:08,51.9593,-10.3778
2,202,08/10/2013,08:09,51.9593,-10.3778,08/10/2013,10:16,52.0632,-10.4322
2,203,08/10/2013,10:17,52.0632,-10.4322,08/10/2013,10:53,51.9970,-10.3049
2,204,08/10/2013,10:54,51.9983,-10.3044,08/10/2013,11:20,52.0708,-10.3340
2,205,08/10/2013,11:22,52.0727,-10.3292,08/10/2013,11:53,52.0611,-10.1877
2,206,08/10/2013,11:55,52.0635,-10.1844,08/10/2013,12:12,52.0999,-10.2354
2,207,08/10/2013,12:13,52.0987,-10.2377,08/10/2013,12:38,52.0267,-10.2428
2,208,08/10/2013,12:41,52.0235,-10.2494,08/10/2013,13:11,52.0581,-10.3765
2,209,08/10/2013,13:13,52.0554,-10.3818,08/10/2013,13:59,51.9331,-10.4378
3,301,08/10/2013,17:17,51.6853,-10.3335,08/10/2013,17:56,51.6176,-10.2041
3,302,08/10/2013,17:57,51.6179,-10.2026,08/10/2013,18:29,51.7069,-10.1921
3,303,08/10/2013,18:30,51.7070,-10.1865,08/10/2013,18:50,51.6928,-10.0974
3,304,08/10/2013,18:51,51.6931,-10.0952,08/10/2013,19:04,51.7267,-10.1071
3,305,08/10/2013,19:05,51.7268,-10.1100,08/10/2013,18:37,51.6359,-10.1470
3,306,08/10/2013,19:38,51.6348,-10.1500,08/10/2013,20:22,51.7125,-10.2894
4,401,08/10/2013,22:20,51.5380,-9.9981,08/10/2013,22:37,51.5730,-9.9725
4,402,08/10/2013,22:38,51.5739,-9.9716,08/10/2013,23:04,51.5664,-9.8532
4,403,08/10/2013,23:04,51.5664,-9.8532,08/10/2013,23:22,51.6100,-9.8187
4,404,08/10/2013,23:22,51.6100,-9.8187,08/10/2013,23:45,51.6218,-9.7168
4,405,08/10/2013,23:45,51.6218,-9.7168,08/10/2013,23:56,51.6255,-9.7490
4,406,08/10/2013,23:56,51.6255,-9.7490,09/10/2013,00:14,51.5853,-9.7932
4,407,09/10/2013,00:14,51.5853,-9.7932,09/10/2013,00:41,51.5308,-9.8800
5,501,09/10/2013,00:41,51.5308,-9.8800,09/10/2013,00:55,51.5210,-9.8212
5,502,09/10/2013,00:55,51.5210,-9.8212,09/10/2013,01:06,51.5197,-9.7727
5,503,09/10/2013,01:06,51.5197,-9.7727,09/10/2013,01:26,51.5468,-9.6947
5,504,09/10/2013,01:26,51.5468,-9.6947,09/10/2013,01:43,51.5432,-9.7563
5,505,09/10/2013,01:43,51.5432,-9.7563,09/10/2013,02:08,51.4948,-9.8375
6,6,09/10/2013,13:17,51.3975,-9.9918,09/10/2013,14:55,51.1253,-9.9880
6,7,09/10/2013,15:42,51.1219,-9.8896,09/10/2013,17:47,51.4453,-9.8824
6,8,09/10/2013,18:07,51.4274,-9.7915,09/10/2013,19:50,51.1241,-9.7827
6,9,09/10/2013,20:35,51.1235,-9.6587,09/10/2013,23:19,51.4694,-9.6472
6,10,09/10/2013,23:43,51.4595,-9.5556,10/10/2013,01:41,51.1231,-9.5481
6,11,10/10/2013,02:08,51.1209,-9.4420,10/10/2013,03:59,51.4204,-9.4406
6,12,10/10/2013,04:21,51.4380,-9.3427,10/10/2013,06:27,51.1297,-9.3373
6,13,10/10/2013,07:05,51.1280,-9.2427,10/10/2013,09:00,51.4380,-9.2347
6,14,10/10/2013,09:25,51.4680,-9.1363,10/10/2013,11:00,51.1839,-9.1296
6,15,10/10/2013,11:47,51.1853,-9.0187,10/10/2013,14:21,51.5285,-9.0297
6,16,10/10/2013,15:29,51.5103,-8.9582,10/10/2013,17:21,51.1845,-8.9508
6,17,10/10/2013,17:46,51.1824,-8.8489,10/10/2013,19:57,51.5552,-8.8445
6,18,10/10/2013,20:20,51.5529,-8.7377,10/10/2013,22:46,51.1901,-8.7348
6,19,10/10/2013,23:30,51.1920,-8.6331,11/10/2013,01:55,51.5867,-8.6327
7,20,11/10/2013,03:26,51.3591,-8.4415,11/10/2013,05:59,51.0055,-8.4388
7,21,11/10/2013,06:15,51.0055,-8.3753,11/10/2013,09:17,51.3647,-8.3807
7,22,11/10/2013,09:55,51.3808,-8.3328,11/10/2013,13:17,51.0055,-8.3257
7,23,11/10/2013,13:33,51.0055,-8.2780,11/10/2013,16:51,51.3988,-8.2802
7,24,11/10/2013,17:24,51.4206,-8.2284,11/10/2013,19:53,51.0055,-8.2221
7,25,11/10/2013,20:24,51.0056,-8.1722,11/10/2013,23:24,51.4286,-8.1698
7,26,11/10/2013,23:40,51.4436,-8.1204,12/10/2013,02:12,51.0075,-8.1233
7,27,12/10/2013,02:47,51.0051,-8.0732,12/10/2013,06:13,51.4595,-8.0682
7,28,12/10/2013,06:27,51.4703,-8.0215,12/10/2013,09:14,51.0055,-8.0198
7,29,12/10/2013,09:29,51.0052,-7.9658,12/10/2013,15:33,51.4817,-7.9617
7,30,12/10/2013,15:48,51.5011,-7.9138,12/10/2013,18:56,51.0058,-7.9167
7,31,12/10/2013,19:23,51.0034,-7.8596,12/10/2013,22:27,51.5082,-7.8560
7,32,12/10/2013,22:42,51.5248,-7.8019,13/10/2013,01:42,51.0050,-7.7855
7,33,13/10/2013,02:15,51.0073,-7.7446,13/10/2013,05:48,51.5435,-7.7512
7,34,13/10/2013,06:02,51.5585,-7.7003,13/10/2013,09:09,51.0075,-7.6943
7,35,13/10/2013,09:23,51.0068,-7.6357,13/10/2013,12:41,51.5778,-7.6362
7,36,13/10/2013,12:53,51.5962,-7.6115,13/10/2013,16:34,51.0090,-7.5870
7,37,13/10/2013,17:02,51.0108,-7.5362,13/10/2013,22:12,51.6107,-7.5350
7,38,13/10/2013,22:24,51.6269,-7.4848,14/10/2013,01:57,51.0075,-7.4845
7,39,14/10/2013,02:24,51.0050,-7.4312,14/10/2013,06:32,51.6448,-7.4312
7,40,14/10/2013,06:46,51.6583,-7.3765,14/10/2013,12:20,51.0036,-7.3731
7,41,14/10/2013,12:33,51.0014,-7.3273,14/10/2013,16:26,51.6714,-7.3197
7,42,14/10/2013,17:05,51.6919,-7.2721,14/10/2013,19:30,51.3568,-7.2718
8,4200,14/10/2013,19:31,51.3248,-7.2718,14/10/2013,21:43,51.0047,-7.2716
8,4300,14/10/2013,22:15,51.0027,-7.2128,15/10/2013,00:00,51.3192,-7.2123
7,43,15/10/2013,00:01,51.3613,-7.2120,15/10/2013,03:40,51.7123,-7.2120
