Transect,Stratum Name,Start Date,Start Time,Start Lat. Deg.,Start Lat. Min.,Start Lon. Deg.,Start Lon. Min.,End Date,End Time,End Lat. Deg.,End Lat. Min.,End Lon. Deg.,End Lon. Min.
,,(dd/mm/yyyy),(hh:mm),,,,,(dd/mm/yyyy),(hh:mm),,,,
1,1,03/10/2015,20:01,51,24.025,-9,59.317,03/10/2015,23:01,51,0.245,-9,59.903
2,1,04/10/2015,01:53,51,0.227,-9,46.820,04/10/2015,04:16,51,23.974,-9,46.881
3,1,04/10/2015,05:18,51,25.220,-9,34.170,04/10/2015,08:05,51,0.330,-9,33.630
4,1,04/10/2015,09:10,51,0.370,-9,20.640,04/10/2015,11:42,51,25.890,-9,21.370
5,1,04/10/2015,12:42,51,27.090,-9,8.660,04/10/2015,16:42,51,0.210,-9,7.800
6,1,04/10/2015,17:44,51,0.170,-8,55.390,04/10/2015,20:44,51,30.670,-8,55.550
7,1,04/10/2015,21:47,51,32.390,-8,42.670,05/10/2015,02:42,51,0.142,-8,42.411
8,1,05/10/2015,04:08,51,0.159,-8,29.500,05/10/2015,07:33,51,35.070,-8,29.610
9,2,05/10/2015,09:09,51,21.330,-8,26.460,05/10/2015,11:32,51,0.130,-8,26.320
10,2,05/10/2015,12:00,51,0.060,-8,20.450,05/10/2015,16:49,51,23.060,-8,20.250
11,2,05/10/2015,17:51,51,24.820,-8,13.900,05/10/2015,20:53,51,0.270,-8,13.780
12,2,05/10/2015,22:17,51,0.236,-8,7.570,06/10/2015,01:15,51,26.432,-8,7.453
13,2,06/10/2015,01:42,51,28.316,-8,1.522,06/10/2015,04:55,51,0.231,-8,1.074
14,2,06/10/2015,05:59,51,0.630,-7,54.620,06/10/2015,11:18,51,30.160,-7,54.700
15,2,06/10/2015,11:43,51,31.660,-7,48.450,06/10/2015,14:47,51,0.010,-7,48.070
16,2,06/10/2015,15:39,51,0.220,-7,42.150,06/10/2015,19:56,51,33.580,-7,42.000
17,2,06/10/2015,20:24,51,35.850,-7,35.580,07/10/2015,00:03,51,0.243,-7,35.495
18,2,07/10/2015,00:58,51,0.001,-7,29.282,07/10/2015,05:12,51,37.770,-7,29.120
19,2,07/10/2015,05:37,51,39.180,-7,22.640,07/10/2015,11:15,51,0.180,-7,22.630
20,2,07/10/2015,11:38,51,0.140,-7,16.380,08/10/2015,03:43,51,41.429,-7,16.377
21,2,08/10/2015,04:08,51,43.496,-7,10.035,08/10/2015,08:27,51,0.020,-7,9.940
22,2,08/10/2015,09:13,51,0.240,-7,3.540,08/10/2015,15:42,51,45.450,-7,3.540
23,2,08/10/2015,17:40,51,47.200,-6,57.140,08/10/2015,22:14,51,0.150,-6,57.040
24,2,08/10/2015,23:11,51,0.134,-6,50.634,09/10/2015,05:01,51,49.499,-6,50.841
25,2,09/10/2015,05:28,51,52.250,-6,44.130,09/10/2015,13:00,51,0.190,-6,44.230
26,2,09/10/2015,13:51,51,0.140,-6,38.250,09/10/2015,21:43,51,53.900,-6,38.030
27,2,09/10/2015,22:12,51,56.070,-6,31.660,10/10/2015,03:37,51,0.172,-6,31.340
28,2,10/10/2015,04:18,51,0.396,-6,25.032,10/10/2015,18:35,51,57.930,-6,24.900
29,2,10/10/2015,19:32,51,59.240,-6,18.700,11/10/2015,01:26,51,0.140,-6,18.423
30,2,11/10/2015,02:19,51,0.155,-6,12.222,11/10/2015,10:22,51,59.340,-6,12.040
32,2,11/10/2015,11:55,51,58.230,-6,0.250,11/10/2015,19:57,51,0.240,-6,0.390
31,2,11/10/2015,22:09,51,0.120,-6,5.680,12/10/2015,06:29,51,59.460,-6,5.390
33,3,12/10/2015,16:29,51,54.700,-6,40.880,12/10/2015,20:24,52,9.948,-6,40.965
34,3,12/10/2015,20:37,52,9.940,-6,43.886,12/10/2015,22:27,51,53.587,-6,44.155
35,3,12/10/2015,22:44,51,52.289,-6,47.357,13/10/2015,00:59,52,9.330,-6,47.470
36,3,13/10/2015,01:17,52,8.000,-6,50.790,13/10/2015,03:45,51,51.350,-6,50.810
37,3,13/10/2015,03:59,51,50.190,-6,53.870,13/10/2015,05:50,52,6.140,-6,53.780
38,3,13/10/2015,07:50,52,5.720,-6,57.150,13/10/2015,11:29,51,49.168,-6,57.237
39,3,13/10/2015,11:45,51,47.855,-7,0.388,13/10/2015,15:38,52,6.742,-7,0.379
40,3,13/10/2015,15:53,52,6.728,-7,3.489,13/10/2015,18:38,51,47.222,-7,3.693
41,3,13/10/2015,18:54,51,45.862,-7,6.731,13/10/2015,21:24,52,6.687,-7,6.842
42,3,13/10/2015,21:40,52,7.351,-7,9.772,14/10/2015,00:18,51,44.960,-7,10.050
43,3,14/10/2015,00:36,51,44.050,-7,13.510,14/10/2015,03:31,52,6.570,-7,13.420
44,3,14/10/2015,03:43,52,6.580,-7,16.400,14/10/2015,06:57,51,43.280,-7,16.940
45,3,14/10/2015,12:52,51,42.044,-7,19.824,14/10/2015,17:12,52,6.848,-7,19.806
46,3,14/10/2015,17:26,52,6.649,-7,22.906,14/10/2015,22:10,51,41.336,-7,23.196
47,3,14/10/2015,22:36,51,40.337,-7,26.125,15/10/2015,04:34,52,5.340,-7,26.410
48,3,15/10/2015,06:52,52,4.430,-7,29.460,15/10/2015,12:41,51,39.651,-7,29.584
49,3,15/10/2015,12:57,51,38.510,-7,32.690,15/10/2015,17:37,52,1.473,-7,32.403
50,3,15/10/2015,18:13,51,56.815,-7,35.832,15/10/2015,20:23,51,37.372,-7,35.945
51,3,17/10/2015,05:51,51,36.150,-7,39.120,17/10/2015,09:32,51,56.060,-7,39.260
