CTD,Date,Time,Depth,Lat. Deg.,Lat. Min.,Lon. Deg.,Lon. Min.
,(dd/mm/yyyy),(hh:mm),(m),,,,
1,02/10/2015,12:00,999,51,24,-9,59.4
2,02/10/2015,12:00,999,51,0.6,-10,0
3,02/10/2015,12:00,999,51,25.2,-9,34.2
4,02/10/2015,12:00,999,51,0.6,-9,33.6
5,02/10/2015,12:00,999,51,25.2,-9,8.4
6,02/10/2015,12:00,999,51,0,-9,7.8
7,02/10/2015,12:00,999,51,26.4,-8,42.6
8,02/10/2015,12:00,999,51,1.2,-8,42.6
9,02/10/2015,12:00,999,51,0,-8,20.4
10,02/10/2015,12:00,999,51,23.4,-8,20.4
11,02/10/2015,12:00,999,51,0,-8,20.4
12,02/10/2015,12:00,999,51,0,-8,7.8
13,02/10/2015,12:00,999,51,0,-8,7.8
14,02/10/2015,12:00,999,51,26.4,-7,54.6
15,02/10/2015,12:00,999,51,0,-7,54.6
16,02/10/2015,12:00,999,51,27,-7,42
17,02/10/2015,12:00,999,51,0,-7,42
18,02/10/2015,12:00,999,51,27,-7,29.4
19,02/10/2015,12:00,999,51,0,-7,29.4
20,02/10/2015,12:00,999,51,26.4,-7,16.2
21,02/10/2015,12:00,999,51,0,-7,16.2
22,02/10/2015,12:00,999,51,26.4,-7,3.6
23,02/10/2015,12:00,999,51,43.8,-7,3.6
24,02/10/2015,12:00,999,51,0,-7,3.6
25,02/10/2015,12:00,999,51,27,-6,51
26,02/10/2015,12:00,999,51,43.8,-6,50.4
27,02/10/2015,12:00,999,51,0,-6,51
28,02/10/2015,12:00,999,51,27,-6,38.4
29,02/10/2015,12:00,999,51,43.8,-6,37.8
30,02/10/2015,12:00,999,51,0,-6,37.8
31,02/10/2015,12:00,999,51,27,-6,24.6
32,02/10/2015,12:00,999,51,44.4,-6,25.2
33,02/10/2015,12:00,999,51,58.2,-6,24.6
34,02/10/2015,12:00,999,51,0,-6,24.6
35,02/10/2015,12:00,999,51,27.6,-6,12
36,02/10/2015,12:00,999,51,43.8,-6,12
37,02/10/2015,12:00,999,51,59.4,-6,12
38,02/10/2015,12:00,999,51,0,-6,12
39,02/10/2015,12:00,999,51,27.6,-6,0.6
40,02/10/2015,12:00,999,51,58.8,-6,0
41,02/10/2015,12:00,999,51,59.4,-6,0.6
42,02/10/2015,12:00,999,51,59.4,-6,40.8
43,02/10/2015,12:00,999,51,59.4,-6,51
44,02/10/2015,12:00,999,52,0,-7,3.6
45,02/10/2015,12:00,999,51,44.4,-7,16.2
46,02/10/2015,12:00,999,52,0,-7,16.2
47,02/10/2015,12:00,999,51,43.8,-7,29.4
48,02/10/2015,12:00,999,51,43.2,-7,30
49,02/10/2015,12:00,999,51,43.2,-7,42.6
50,02/10/2015,12:00,999,51,42.6,-7,55.2
51,02/10/2015,12:00,999,51,7.4500002,-8,8.4
52,02/10/2015,12:00,999,51,10.3519998,-7,13.98
53,02/10/2015,12:00,999,51,10.0819998,-7,10.761
54,02/10/2015,12:00,999,51,19.377,-7,12.83899998
55,02/10/2015,12:00,999,51,19.53,-6,28.67500002
56,02/10/2015,12:00,999,51,15.4999998,-6,33.70000002
57,02/10/2015,12:00,999,51,15.06,-6,36.28000002
