Transect,Stratum Name,Start Date,Start Time,Start Lat. Deg.,Start Lat. Min.,Start Lon. Deg.,Start Lon. Min.,End Date,End Time,End Lat. Deg.,End Lat. Min.,End Lon. Deg.,End Lon. Min.
,,(dd/mm/yyyy),(hh:mm),,,,,(dd/mm/yyyy),(hh:mm),,,,
210,10,07/10/2015,15:55,51,8.8000002,-7,13.32,07/10/2015,16:03,51,7.77,-7,11.47999998
211,10,07/10/2015,16:04,51,7.9999998,-7,11.20999998,07/10/2015,16:11,51,8.9800002,-7,13.09000002
212,10,07/10/2015,16:13,51,9.1600002,-7,12.88000002,07/10/2015,16:20,51,8.1100002,-7,11.13
213,10,07/10/2015,16:23,51,8.4199998,-7,10.75999998,07/10/2015,16:31,51,9.1999998,-7,12.70000002
214,10,07/10/2015,16:32,51,9.42,-7,12.52000002,07/10/2015,16:40,51,8.6599998,-7,10.53
215,10,07/10/2015,16:43,51,8.8600002,-7,10.29,07/10/2015,16:52,51,9.5800002,-7,12.31999998
216,10,07/10/2015,16:54,51,8.68,-7,13.5,07/10/2015,17:03,51,7.61,-7,11.65
217,11,07/10/2015,19:56,51,7.5499998,-7,11.7,07/10/2015,20:06,51,8.6599998,-7,13.51999998
218,11,07/10/2015,20:14,51,8.8099998,-7,13.33999998,07/10/2015,20:21,51,7.7299998,-7,11.50000002
219,11,07/10/2015,20:24,51,7.98,-7,11.23000002,07/10/2015,20:31,51,8.8900002,-7,13.09000002
220,11,07/10/2015,20:33,51,9.12,-7,12.93,07/10/2015,20:41,51,8.25,-7,10.95
221,11,07/10/2015,20:43,51,8.34,-7,10.84000002,07/10/2015,20:50,51,9.3,-7,12.67999998
222,11,07/10/2015,20:52,51,9.4099998,-7,12.55000002,07/10/2015,21:00,51,8.6599998,-7,10.51999998
223,11,07/10/2015,21:18,51,8.8600002,-7,10.29,07/10/2015,21:27,51,9.5599998,-7,12.34999998
224,11,07/10/2015,07:26,51,8.5900002,-7,13.39999998,07/10/2015,21:40,51,7.5799998,-7,11.79
225,12,10/10/2015,06:28,51,19.0900002,-6,24.97999998,10/10/2015,06:39,51,19.0300002,-6,38.13
226,12,10/10/2015,06:41,51,19.2,-6,38.14000002,10/10/2015,06:53,51,19.2,-6,24.97999998
227,12,10/10/2015,06:56,51,18.93,-6,25.00000002,10/10/2015,07:07,51,18.78,-6,38.08000002
228,12,10/10/2015,08:34,51,18.5599998,-6,38.1,10/10/2015,08:53,51,18.8299998,-6,24.97999998
229,12,10/10/2015,08:55,51,18.7000002,-6,24.97999998,10/10/2015,09:10,51,18.3100002,-6,38.1
230,12,10/10/2015,09:12,51,18.1699998,-6,38.1,10/10/2015,09:31,51,18.51,-6,24.97999998
231,12,10/10/2015,09:43,51,18.3499998,-6,24.97999998,10/10/2015,10:01,51,17.9500002,-6,38.08000002
232,12,10/10/2015,10:03,51,17.7700002,-6,38.08000002,10/10/2015,10:25,51,18.21,-6,24.97000002
233,12,10/10/2015,10:27,51,18.0100002,-6,24.97999998,10/10/2015,10:42,51,17.5999998,-6,38.08000002
234,12,10/10/2015,10:44,51,17.46,-6,38.08000002,10/10/2015,11:10,51,17.8600002,-6,24.97999998
235,12,10/10/2015,11:12,51,17.7,-6,24.97999998,10/10/2015,11:29,51,17.2900002,-6,38.1
236,12,10/10/2015,11:31,51,17.13,-6,38.1,10/10/2015,11:59,51,17.55,-6,24.97000002
237,12,10/10/2015,12:02,51,17.3800002,-6,24.97000002,10/10/2015,12:28,51,16.9300002,-6,38.08000002
238,12,10/10/2015,12:30,51,16.8,-6,38.08000002,10/10/2015,12:59,51,17.1700002,-6,24.97999998
239,12,10/10/2015,13:20,51,19.4500002,-6,24.97999998,10/10/2015,13:33,51,19.1800002,-6,38.05999998
240,12,10/10/2015,13:35,51,19.3600002,-6,38.05999998,10/10/2015,13:52,51,19.59,-6,24.97999998
261,14,16/10/2015,07:29,51,16.74,-6,38.07,16/10/2015,08:04,51,16.8,-6,24.97999998
262,14,16/10/2015,08:06,51,17.0200002,-6,25.02,16/10/2015,08:40,51,16.8700002,-6,38.02999998
263,14,16/10/2015,09:56,51,17.0800002,-6,38.05999998,16/10/2015,10:32,51,17.04,-6,25.23
264,14,16/10/2015,10:35,51,17.2099998,-6,25.00000002,16/10/2015,10:49,51,17.25,-6,38.04
265,14,16/10/2015,10:51,51,17.4,-6,38.04,16/10/2015,11:07,51,17.4499998,-6,25.00999998
266,14,16/10/2015,11:08,51,17.5399998,-6,25.00000002,16/10/2015,11:19,51,17.52,-6,37.99999998
267,14,16/10/2015,11:21,51,17.6599998,-6,37.99000002,16/10/2015,11:43,51,17.7199998,-6,25.02
268,14,16/10/2015,11:45,51,17.8399998,-6,25.03999998,16/10/2015,12:03,51,17.8399998,-6,38.08000002
269,14,16/10/2015,12:06,51,18.06,-6,38.05999998,16/10/2015,12:24,51,17.9800002,-6,25.06999998
270,14,16/10/2015,12:25,51,18.15,-6,25.06999998,16/10/2015,12:39,51,18.24,-6,37.96999998
271,14,16/10/2015,12:41,51,18.3,-6,37.96999998,16/10/2015,13:01,51,18.3400002,-6,25.05
272,14,16/10/2015,13:03,51,18.4600002,-6,25.09000002,16/10/2015,13:20,51,18.48,-6,37.96999998
241,15,16/10/2015,01:24,51,16.5700002,-6,38.02000002,16/10/2015,01:57,51,16.5499998,-6,25.09000002
242,15,16/10/2015,01:58,51,16.4200002,-6,25.09000002,16/10/2015,02:28,51,16.44,-6,38.02999998
243,15,16/10/2015,02:30,51,16.32,-6,38.02999998,16/10/2015,02:49,51,16.23,-6,25.09000002
244,15,16/10/2015,02:51,51,16.11,-6,25.08,16/10/2015,03:08,51,16.14,-6,38.02999998
245,15,16/10/2015,03:10,51,15.9799998,-6,38.02999998,16/10/2015,03:29,51,15.93,-6,25.09000002
246,15,16/10/2015,03:31,51,15.7099998,-6,25.09000002,16/10/2015,03:45,51,15.78,-6,37.96999998
247,15,16/10/2015,03:46,51,15.6100002,-6,37.99999998,16/10/2015,03:55,51,15.5599998,-6,25.09000002
248,15,16/10/2015,03:57,51,15.39,-6,25.15000002,16/10/2015,04:13,51,15.42,-6,37.96999998
