Station,Lat,Lon
1,58.39,-7.49
2,58.39,-8.58
3,58.14,-9.14
4,58.14,-8.01
5,57.89,-8.50
6,57.65,-9.47
7,57.64,-8.00
8,57.39,-7.61
9,57.40,-8.50
10,57.14,-9.27
11,57.15,-8.00
12,56.90,-8.50
13,56.77,-9.03
14,56.77,-7.70
15,56.52,-9.06
16,56.52,-8.01
17,56.52,-7.20
18,56.27,-8.49
19,56.27,-7.51
20,56.27,-6.60
21,56.02,-9.19
22,56.02,-8.00
23,56.02,-7.00
24,55.77,-9.00
25,55.77,-7.50
26,55.64,-6.60
27,55.52,-9.40
28,55.52,-8.50
29,55.52,-7.00
30,55.27,-9.89
31,55.27,-8.00
32,55.14,-9.00
33,55.02,-10.12
34,54.64,-10.58
35,54.65,-9.00
36,54.40,-9.39
37,54.14,-10.93
38,54.14,-10.23
39,53.89,-10.49
40,53.89,-11.26
41,53.65,-11.00
42,53.65,-10.33
