Str,Trans,S_Date,S_Time,S_Lat,S_Lon,E_Date,E_Time,E_Lat,E_Lon
42E3,101,25/06/2013,03:09,56.520,-6.484,25/06/2013,04:39,56.776,-6.234
42E3,201,25/06/2013,04:40,56.778,-6.238,25/06/2013,07:17,56.792,-7.000
42E2,202,25/06/2013,07:18,56.792,-7.005,25/06/2013,09:09,56.802,-7.553
42E2,301,25/06/2013,09:11,56.804,-7.550,25/06/2013,11:13,56.960,-7.000
42E3,302,25/06/2013,11:14,56.961,-6.997,25/06/2013,11:43,57.000,-6.857
43E3,303,25/06/2013,11:44,57.000,-6.855,25/06/2013,12:14,57.037,-6.716
43E3,401,25/06/2013,12:15,57.038,-6.718,25/06/2013,13:14,57.092,-6.998
43E2,402,25/06/2013,13:14,57.093,-7.001,25/06/2013,13:54,57.129,-7.183
43E2,501,25/06/2013,13:55,57.130,-7.183,25/06/2013,14:30,57.169,-7.001
43E3,502,25/06/2013,14:31,57.170,-6.998,25/06/2013,16:04,57.280,-6.531
43E3,601,25/06/2013,16:05,57.283,-6.533,25/06/2013,17:37,57.392,-6.999
43E2,602,25/06/2013,17:37,57.393,-7.002,25/06/2013,18:12,57.430,-7.167
43E2,701,25/06/2013,18:14,57.434,-7.167,25/06/2013,18:47,57.479,-7.000
43E3,702,25/06/2013,18:48,57.480,-6.996,25/06/2013,19:03,57.500,-6.924
44E3,703,25/06/2013,19:04,57.502,-6.917,25/06/2013,19:49,57.564,-6.697
44E3,801,25/06/2013,19:50,57.566,-6.694,25/06/2013,21:02,57.728,-6.937
44E3,901,25/06/2013,21:03,57.730,-6.937,26/06/2013,03:08,57.703,-6.381
44E3,1001,26/06/2013,03:09,57.706,-6.382,26/06/2013,04:26,57.914,-6.508
44E3,1101,26/06/2013,04:27,57.915,-6.506,26/06/2013,06:26,57.703,-6.000
44E4,1102,26/06/2013,06:27,57.701,-5.996,26/06/2013,06:56,57.646,-5.864
44E4,1201,26/06/2013,06:58,57.647,-5.859,26/06/2013,09:37,57.888,-6.000
44E3,1202,26/06/2013,09:38,57.889,-6.000,26/06/2013,10:17,58.000,-6.066
45E3,1203,26/06/2013,10:18,58.001,-6.067,26/06/2013,11:23,58.178,-6.168
