Transect,Stratum Name,Start Date,Start Time,Start Lat. Deg.,Start Lat. Min.,Start Lon. Deg.,Start Lon. Min.,End Date,End Time,End Lat. Deg.,End Lat. Min.,End Lon. Deg.,End Lon. Min.
,,(dd/mm/yyyy),(hh:mm),,,,,(dd/mm/yyyy),(hh:mm),,,,
101,SR42E3,26/06/2015,12:31,56,30.793,-6,28.865,26/06/2015,14:01,56,44.454,-6,17.562
201,SR42E3,26/06/2015,14:03,56,44.782,-6,17.396,26/06/2015,16:38,56,55.589,-6,59.91
202,SR42E2,26/06/2015,16:39,56,55.589,-7,0.035,26/06/2015,17:38,56,59.993,-7,16.895
301,SR43E2,26/06/2015,17:39,57,0.121,-7,16.862,26/06/2015,18:54,57,8.396,-7,0.11
302,SR43E3,26/06/2015,18:55,57,8.41,-6,59.965,26/06/2015,20:06,57,16.735,-6,43.026
401,SR43E3,26/06/2015,20:07,57,16.778,-6,43.042,26/06/2015,21:25,57,26.114,-6,59.98
402,SR43E2,26/06/2015,21:26,57,26.137,-7,0.014,26/06/2015,21:51,57,29.975,-7,3.484
403,SR44E2,26/06/2015,21:52,57,30.046,-7,3.508,26/06/2015,22:13,57,33.112,-7,6.431
501,SR44E2,26/06/2015,22:14,57,33.182,-7,6.399,26/06/2015,22:35,57,34.764,-7,0.01
502,SR44E3,26/06/2015,22:36,57,34.773,-6,59.951,27/06/2015,03:53,57,40.045,-6,37.91
601,SR44E3,27/06/2015,03:54,57,40.105,-6,37.703,27/06/2015,05:50,57,58.187,-6,23.254
701,SR44E3,27/06/2015,05:51,57,58.209,-6,22.973,27/06/2015,07:09,57,54.163,-6,0
702,SR44E4,27/06/2015,07:10,57,54.127,-5,59.694,27/06/2015,07:42,57,52.391,-5,50.336
801,SR44E4,27/06/2015,07:43,57,52.476,-5,50.298,27/06/2015,10:03,57,59.806,-5,56.453
802,SR45E4,27/06/2015,10:04,58,0.01,-5,56.608,27/06/2015,10:28,58,3.854,-5,59.77
803,SR45E3,27/06/2015,10:29,58,3.883,-6,0.001,27/06/2015,11:24,58,12.202,-6,6.65
901,SR45E3,27/06/2015,11:25,58,12.396,-6,6.538,27/06/2015,11:49,58,14.34,-6,0.038
902,SR45E4,27/06/2015,11:50,58,14.373,-5,59.932,27/06/2015,14:30,58,28.549,-5,13.765
1001,SR49E5,28/06/2015,03:02,60,0,-4,14.242,28/06/2015,03:53,60,8.563,-4,14.306
1002,SR49E5,28/06/2015,03:55,60,8.542,-4,14.578,28/06/2015,05:16,60,0.001,-4,34.753
1101,SR48E5,28/06/2015,06:18,59,53.625,-4,49.578,28/06/2015,10:06,59,53.718,-4,14.484
1102,SR48E5,28/06/2015,10:28,59,53.71,-4,14.339,28/06/2015,11:10,59,46.9,-4,14.408
1201,SR48E5,28/06/2015,11:11,59,46.793,-4,14.409,28/06/2015,11:59,59,38.657,-4,14.673
1202,SR48E5,28/06/2015,12:00,59,38.649,-4,14.849,28/06/2015,14:27,59,38.611,-4,59.94
1203,SR48E4,28/06/2015,14:28,59,38.603,-5,0.154,28/06/2015,16:57,59,38.681,-5,42.639
1301,SR47E3,28/06/2015,12:40,59,24.275,-6,29.872,28/06/2015,22:11,59,23.71,-6,0.14
1302,SR47E4,28/06/2015,22:12,59,23.71,-5,59.92,29/06/2015,05:02,59,23.712,-5,0.002
1303,SR47E5,29/06/2015,05:03,59,23.713,-4,59.99,29/06/2015,07:21,59,23.61,-4,15.01
1304,SR47E5,29/06/2015,07:46,59,23.529,-4,14.382,29/06/2015,08:31,59,16.18,-4,14.397
